imdb_rating,n_lines,n_directions,n_words,n_speak_char,andy,angela,creed,darryl,david,dwight,erin,gabe,holly,jan,jim,karen,kelly,kevin,meredith,michael,nellie,oscar,pam,phyllis,robert,ryan,stanley,toby,andy_perc,angela_perc,creed_perc,darryl_perc,david_perc,dwight_perc,erin_perc,gabe_perc,holly_perc,jan_perc,jim_perc,karen_perc,kelly_perc,kevin_perc,meredith_perc,michael_perc,nellie_perc,oscar_perc,pam_perc,phyllis_perc,robert_perc,ryan_perc,stanley_perc,toby_perc,michael_dummy,dwight_dummy,jim_dummy,pam_dummy,andy_dummy,angela_dummy,kevin_dummy,erin_dummy,oscar_dummy,ryan_dummy,darryl_dummy,phyllis_dummy,kelly_dummy,toby_dummy,jan_dummy,stanley_dummy,meredith_dummy,holly_dummy,nellie_dummy,gabe_dummy,robert_dummy,creed_dummy,david_dummy,karen_dummy,writer_Aaron Shure,writer_Allison Silverman,writer_B.J. Novak,writer_Brent Forrester,writer_Carrie Kemper,writer_Charlie Grandy,writer_Daniel Chun,writer_Gene Stupnitsky;Lee Eisenberg,writer_Greg Daniels,writer_Halsted Sullivan;Warren Lieberstein,writer_Jennifer Celotta,writer_Justin Spitzer,writer_Lee Eisenberg;Gene Stupnitsky,writer_Michael Schur,writer_Mindy Kaling,writer_Owen Ellickson,writer_Paul Lieberstein,writer_Robert Padnick,writer_Steve Hely,writer_Warren Lieberstein;Halsted Sullivan,low_appearance_writer,director_B.J. Novak,director_Brent Forrester,director_Charles McDougall,director_David Rogers,director_Greg Daniels,director_Harold Ramis,director_Jeffrey Blitz,director_Jennifer Celotta,director_John Krasinski,director_Ken Kwapis,director_Ken Whittingham,director_Matt Sohn,director_Paul Feig,director_Paul Lieberstein,director_Rainn Wilson,director_Randall Einhorn,director_Steve Carell,director_Troy Miller,director_Tucker Gates,low_appearance_director,multi_part
7.6,229,27,2757,15,0.0,1.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,12.0,36.0,0.0,0.0,1.0,0.0,81.0,0.0,3.0,41.0,2.0,0.0,8.0,5.0,0.0,0.0,0.004366812227074236,0.0,0.0,0.0,0.12663755458515283,0.0,0.0,0.0,0.05240174672489083,0.1572052401746725,0.0,0.0,0.004366812227074236,0.0,0.3537117903930131,0.0,0.013100436681222707,0.17903930131004367,0.008733624454148471,0.0,0.034934497816593885,0.021834061135371178,0.0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8.3,203,20,2808,12,0.0,4.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,25.0,0.0,2.0,8.0,0.0,75.0,0.0,13.0,12.0,0.0,0.0,4.0,5.0,2.0,0.0,0.019704433497536946,0.0,0.0,0.0,0.08374384236453201,0.0,0.0,0.0,0.0,0.12315270935960591,0.0,0.009852216748768473,0.03940886699507389,0.0,0.3694581280788177,0.0,0.06403940886699508,0.059113300492610835,0.0,0.0,0.019704433497536946,0.024630541871921183,0.009852216748768473,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7.9,244,21,2769,13,0.0,5.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,18.0,42.0,0.0,0.0,6.0,3.0,56.0,0.0,9.0,32.0,0.0,0.0,1.0,6.0,0.0,0.0,0.020491803278688523,0.0,0.0,0.0,0.2540983606557377,0.0,0.0,0.0,0.07377049180327869,0.1721311475409836,0.0,0.0,0.02459016393442623,0.012295081967213115,0.22950819672131148,0.0,0.036885245901639344,0.13114754098360656,0.0,0.0,0.004098360655737705,0.02459016393442623,0.0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8.1,243,24,2939,14,0.0,7.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,3.0,10.0,68.0,0.0,14.0,22.0,5.0,0.0,4.0,2.0,4.0,0.0,0.02880658436213992,0.0,0.0,0.0,0.1934156378600823,0.0,0.0,0.0,0.0,0.20164609053497942,0.0,0.0,0.012345679012345678,0.0411522633744856,0.27983539094650206,0.0,0.05761316872427984,0.09053497942386832,0.0205761316872428,0.0,0.01646090534979424,0.00823045267489712,0.01646090534979424,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8.4,230,49,2437,18,0.0,3.0,0.0,15.0,0.0,25.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,1.0,0.0,104.0,0.0,2.0,14.0,4.0,0.0,8.0,3.0,0.0,0.0,0.013043478260869565,0.0,0.06521739130434782,0.0,0.10869565217391304,0.0,0.0,0.0,0.0,0.09130434782608696,0.0,0.0,0.004347826086956522,0.0,0.45217391304347826,0.0,0.008695652173913044,0.06086956521739131,0.017391304347826087,0.0,0.034782608695652174,0.013043478260869565,0.0,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.8,346,39,3028,13,0.0,3.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,8.0,55.0,0.0,0.0,5.0,0.0,106.0,0.0,1.0,45.0,0.0,0.0,12.0,3.0,7.0,0.0,0.008670520231213872,0.0,0.0,0.0,0.08092485549132948,0.0,0.0,0.0,0.023121387283236993,0.15895953757225434,0.0,0.0,0.014450867052023121,0.0,0.3063583815028902,0.0,0.002890173410404624,0.13005780346820808,0.0,0.0,0.03468208092485549,0.008670520231213872,0.02023121387283237,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8.7,256,59,2812,20,0.0,1.0,0.0,1.0,0.0,32.0,0.0,0.0,0.0,9.0,32.0,0.0,7.0,1.0,0.0,96.0,0.0,2.0,41.0,10.0,0.0,2.0,8.0,0.0,0.0,0.00390625,0.0,0.00390625,0.0,0.125,0.0,0.0,0.0,0.03515625,0.125,0.0,0.02734375,0.00390625,0.0,0.375,0.0,0.0078125,0.16015625,0.0390625,0.0,0.0078125,0.03125,0.0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.2,283,35,3064,26,0.0,2.0,0.0,9.0,0.0,11.0,0.0,0.0,0.0,11.0,16.0,0.0,0.0,6.0,1.0,100.0,0.0,0.0,27.0,6.0,0.0,1.0,1.0,26.0,0.0,0.00554016620498615,0.0,0.024930747922437674,0.0,0.030470914127423823,0.0,0.0,0.0,0.030470914127423823,0.0443213296398892,0.0,0.0,0.01662049861495845,0.002770083102493075,0.2770083102493075,0.0,0.0,0.07479224376731301,0.01662049861495845,0.0,0.002770083102493075,0.002770083102493075,0.07202216066481995,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8.4,281,33,2604,14,0.0,6.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,9.0,1.0,83.0,0.0,10.0,33.0,2.0,0.0,5.0,3.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.2777777777777778,0.0,0.0,0.0,0.0,0.2777777777777778,0.0,0.0,0.045454545454545456,0.005050505050505051,0.41919191919191917,0.0,0.050505050505050504,0.16666666666666666,0.010101010101010102,0.0,0.025252525252525252,0.015151515151515152,0.0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8.4,319,34,2766,16,0.0,17.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,51.0,0.0,4.0,5.0,4.0,69.0,0.0,4.0,22.0,6.0,0.0,40.0,5.0,0.0,0.0,0.0825242718446602,0.0,0.0,0.0,0.3155339805825243,0.0,0.0,0.0,0.0,0.24757281553398058,0.0,0.019417475728155338,0.024271844660194174,0.019417475728155338,0.33495145631067963,0.0,0.019417475728155338,0.10679611650485436,0.02912621359223301,0.0,0.1941747572815534,0.024271844660194174,0.0,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
